City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anshun,26.25,105.9333,15.85,80,92,1.37,CN,1681847006
83,suklayin,15.7574,121.5503,24.11,95,43,0.32,PH,1681847006
84,banda aceh,5.5577,95.3222,28.14,76,90,1.39,ID,1681846870
85,tindouf,27.6711,-8.1474,24.74,21,0,5.58,DZ,1681847006
86,tiksi,71.6872,128.8694,-18.72,100,100,2.7,RU,1681846831
87,chibougamau,49.9168,-74.3659,1.79,93,100,3.6,CA,1681846945
88,wailua homesteads,22.0669,-159.378,21.59,93,100,5.66,US,1681846959
89,hermanus,-34.4187,19.2345,13.22,81,59,3.02,ZA,1681847007
90,changli,39.7042,119.1506,10.46,54,1,1.61,CN,1681847007
91,kapustin yar,48.5831,45.7372,9.52,42,100,4.7,RU,1681847007
92,anadyr,64.75,177.4833,-1.72,80,75,6.0,RU,1681846873
93,georgetown,5.4112,100.3354,26.96,94,20,1.03,MY,1681846782
94,plouguerneau,48.6,-4.5,10.23,81,0,6.17,FR,1681847008
95,al kharijah,25.4514,30.5464,28.16,11,0,1.97,EG,1681847008
96,st. john's,47.5649,-52.7093,5.44,83,75,5.66,CA,1681846984
97,castillos,-34.1667,-53.8333,15.7,49,22,5.12,UY,1681847008
98,stanley,54.868,-1.6985,7.1,92,0,3.6,GB,1681846898
99,nazare,-13.035,-39.0144,28.89,69,98,2.68,BR,1681847009
100,saipan,15.1355,145.701,26.47,100,20,6.17,MP,1681846821
101,rogers park,61.1981,-149.8492,0.31,54,0,1.54,US,1681847009
102,mangrol,21.1167,70.1167,27.0,72,4,5.86,IN,1681847009
103,touros,-5.1989,-35.4608,27.07,79,74,3.66,BR,1681847009
104,kanniyakumari,8.0833,77.5667,28.08,79,6,2.72,IN,1681847010
105,vilyuchinsk,52.9306,158.4028,2.92,94,100,3.92,RU,1681846963
106,garoowe,8.4054,48.4845,25.6,61,2,6.96,SO,1681847010
107,minas de marcona,-15.2119,-75.1103,19.86,61,74,8.6,PE,1681847010
108,humaita,-7.5061,-63.0208,29.62,71,100,1.37,BR,1681847010
109,tot'ma,59.9747,42.7642,4.11,85,100,3.4,RU,1681847010
110,howrah,22.5892,88.3103,30.0,84,20,3.6,IN,1681847011
111,yellowknife,62.456,-114.3525,5.31,52,0,6.17,CA,1681847012
112,yaren,-0.5472,166.916,28.02,75,20,3.84,NR,1681847012
113,ribeira grande,38.5167,-28.7,15.43,72,40,6.17,PT,1681847012
114,usinsk,65.9939,57.5281,-7.89,93,37,3.49,RU,1681847012
115,moires,35.0532,24.8744,15.62,80,9,2.68,GR,1681847012
116,jayapura,-2.5333,140.7,24.66,89,100,1.68,ID,1681847013
117,tura,25.5198,90.2201,26.58,58,1,3.49,IN,1681847013
118,jorpeland,59.0225,6.0408,11.17,13,92,2.44,NO,1681847013
119,bac lieu,9.285,105.7244,27.68,79,75,2.72,VN,1681847009
120,pinotepa nacional,16.3167,-98.0167,34.03,43,62,5.89,MX,1681847013
121,bardai,11.65,7.2333,31.78,28,75,2.9,NG,1681847013
122,west island,-12.1568,96.8225,26.99,78,75,5.14,CC,1681847014
123,albany,42.6001,-73.9662,9.46,63,100,0.89,US,1681846873
124,saint-pierre,-21.3393,55.4781,24.82,73,0,2.06,RE,1681847014
125,wanning,18.8003,110.3967,25.61,93,25,6.05,CN,1681847014
126,kodiak,57.79,-152.4072,1.73,48,0,6.17,US,1681847014
127,iskateley,67.6803,53.1512,-2.5,88,97,3.22,RU,1681847014
128,margaret river,-33.95,115.0667,10.31,84,0,4.0,AU,1681847015
129,chonchi,-42.6128,-73.8092,15.62,93,100,1.58,CL,1681847015
130,kawm umbu,24.4767,32.9463,29.93,11,0,3.36,EG,1681847015
131,honefoss,60.168,10.2565,9.84,86,98,1.93,NO,1681847015
132,beipiao,41.7919,120.7792,10.5,55,82,3.39,CN,1681847016
133,mogadishu,2.0371,45.3438,28.9,68,45,4.68,SO,1681847016
134,temiskaming shores,47.4938,-79.7153,0.89,80,100,4.21,CA,1681847016
135,daye,30.0833,114.95,20.52,96,100,0.36,CN,1681847016
136,portage la prairie,49.9728,-98.2926,7.18,47,100,5.14,CA,1681847016
137,albina,5.5,-54.05,26.99,77,99,1.59,SR,1681847017
138,saltpond,5.2091,-1.0606,27.88,80,100,3.39,GH,1681847017
139,bafoulabe,13.8065,-10.8321,37.5,10,99,1.9,ML,1681847017
140,huichapan,20.3833,-99.65,27.41,16,2,5.57,MX,1681846951
141,huanan,46.2167,130.5167,3.33,87,74,2.47,CN,1681847017
